S1601_C01_001E,S1601_C01_002E,S1601_C01_003E,S1601_C01_004E,S1601_C01_008E,S1601_C01_012E,S1601_C01_016E,FIPS,STATEFP,COUNTYFP,TRACTCE
1855,1736,119,116,0,0,3,48011950100,48,011,950100
6588,3752,2836,2782,54,0,0,48013960100,48,013,960100
6932,3780,3152,3108,35,9,0,48013960201,48,013,960201
10293,5826,4467,4450,17,0,0,48013960202,48,013,960202
3534,2133,1401,1395,6,0,0,48013960300,48,013,960300
2057,998,1059,1054,5,0,0,48013960401,48,013,960401
8397,6671,1726,1569,152,5,0,48013960402,48,013,960402
2366,1186,1180,1180,0,0,0,48013960500,48,013,960500
5724,3876,1848,1826,22,0,0,48013960600,48,013,960600
2497,1819,678,647,31,0,0,48015760100,48,015,760100
5357,3871,1486,1391,65,3,27,48015760200,48,015,760200
6369,4695,1674,1630,44,0,0,48015760300,48,015,760300
3910,3221,689,490,146,53,0,48015760400,48,015,760400
4584,4213,371,355,16,0,0,48015760501,48,015,760501
5261,4370,891,855,36,0,0,48015760502,48,015,760502
6642,3448,3194,3133,0,46,15,48017950100,48,017,950100
4099,3731,368,331,28,9,0,48019000101,48,019,000101
5743,4963,780,679,96,5,0,48019000102,48,019,000102
2746,2525,221,194,7,20,0,48019000200,48,019,000200
6669,5810,859,810,30,19,0,48019000300,48,019,000300
2008,1836,172,156,16,0,0,48019000400,48,019,000400
7866,5363,2503,2177,193,120,13,48021950100,48,021,950100
8755,5564,3191,3151,33,7,0,48021950200,48,021,950200
15223,11576,3647,3148,387,112,0,48021950300,48,021,950300
8756,7826,930,770,136,9,15,48021950400,48,021,950400
8280,4408,3872,3699,95,66,12,48021950501,48,021,950501
6019,5482,537,485,52,0,0,48021950502,48,021,950502
5071,4709,362,286,55,21,0,48021950600,48,021,950600
4301,3822,479,377,59,43,0,48021950700,48,021,950700
7250,3782,3468,3442,26,0,0,48021950801,48,021,950801
7482,3158,4324,4281,23,20,0,48021950802,48,021,950802
3424,3267,157,103,14,40,0,48023950300,48,023,950300
1717,1235,482,478,4,0,0,48025950100,48,025,950100
8326,5533,2793,2735,25,9,24,48025950201,48,025,950201
5193,3504,1689,1587,80,22,0,48025950202,48,025,950202
5303,3653,1650,1526,28,96,0,48025950300,48,025,950300
2025,1382,643,633,5,5,0,48025950400,48,025,950400
5639,3423,2216,2160,30,13,13,48025950500,48,025,950500
2507,1338,1169,1149,6,0,14,48025950600,48,025,950600
6943,6575,368,302,66,0,0,48027020100,48,027,020100
7822,6834,988,452,270,183,83,48027020201,48,027,020201
6922,6348,574,524,50,0,0,48027020202,48,027,020202
10264,9119,1145,863,124,158,0,48027020300,48,027,020300
3131,2503,628,548,37,43,0,48027020401,48,027,020401
2321,1975,346,328,18,0,0,48027020402,48,027,020402
3515,2162,1353,1296,57,0,0,48027020500,48,027,020500
2514,2164,350,231,86,33,0,48027020600,48,027,020600
1338,1065,273,255,13,5,0,48027020701,48,027,020701
1537,887,650,622,5,23,0,48027020702,48,027,020702
2534,2044,490,475,15,0,0,48027020800,48,027,020800
2683,2157,526,514,12,0,0,48027020900,48,027,020900
3957,2951,1006,936,37,25,8,48027021000,48,027,021000
5423,4681,742,593,123,26,0,48027021100,48,027,021100
2974,2361,613,506,28,41,38,48027021201,48,027,021201
3790,3347,443,332,35,47,29,48027021202,48,027,021202
4276,3960,316,282,34,0,0,48027021203,48,027,021203
4685,3985,700,603,54,43,0,48027021301,48,027,021301
2740,2550,190,154,11,19,6,48027021302,48,027,021302
8787,7813,974,599,116,241,18,48027021303,48,027,021303
4060,3352,708,618,6,72,12,48027021400,48,027,021400
6607,4536,2071,1970,35,66,0,48027021500,48,027,021500
5164,3494,1670,1624,34,12,0,48027021601,48,027,021601
2732,2250,482,415,33,34,0,48027021602,48,027,021602
8417,7927,490,323,141,26,0,48027021700,48,027,021700
8567,7671,896,622,167,107,0,48027021800,48,027,021800
3327,2722,605,468,78,59,0,48027021901,48,027,021901
8726,7589,1137,573,110,315,139,48027021903,48,027,021903
11184,9157,2027,1052,422,526,27,48027021904,48,027,021904
7631,5833,1798,1225,157,289,127,48027022000,48,027,022000
4040,3124,916,588,132,141,55,48027022101,48,027,022101
5002,3860,1142,880,65,153,44,48027022103,48,027,022103
3938,3090,848,481,114,244,9,48027022104,48,027,022104
