S1201_C01_001E,S1201_C01_017E,S1201_C01_018E,S1201_C01_019E,S1201_C01_020E,S1201_C01_021E,S1201_C01_022E,S1201_C01_023E,S1201_C01_024E,S1201_C01_025E,S1201_C01_026E,S1201_C02_001E,S1201_C03_001E,S1201_C04_001E,S1201_C05_001E,S1201_C06_001E,FIPS,STATEFP,COUNTYFP,TRACTCE
2047,1970,1615,325,0,8,0,22,77,414,1250,64.1,4.4,5.0,1.2,25.3,48439111018,48,439,111018
4749,4671,1312,2552,0,0,0,807,78,1947,180,44.7,3.9,12.1,1.7,37.7,48439111102,48,439,111102
3077,3077,1516,1086,0,0,0,475,0,1728,263,37.3,6.3,8.9,6.2,41.3,48439111103,48,439,111103
1885,1862,546,1047,10,3,0,256,23,584,235,42.1,8.0,13.7,3.1,33.2,48439111104,48,439,111104
4773,4707,2445,1375,0,50,0,837,66,1992,1306,47.6,4.4,10.4,2.8,34.9,48439111202,48,439,111202
5124,4819,3887,591,20,20,0,301,305,1586,2644,46.4,6.3,12.9,1.7,32.7,48439111203,48,439,111203
3876,3859,3626,180,0,14,0,39,17,508,3150,59.0,4.0,12.9,1.7,22.4,48439111204,48,439,111204
7738,7738,6886,587,0,30,0,235,0,1047,6074,55.3,5.4,10.2,0.0,29.1,48439111301,48,439,111301
6274,5775,4985,449,29,144,0,168,499,769,4537,61.6,7.3,7.2,0.4,23.5,48439111304,48,439,111304
4255,4079,3323,479,29,87,0,161,176,1003,2539,47.9,5.3,11.9,1.4,33.5,48439111306,48,439,111306
2546,2442,1765,470,0,7,0,200,104,551,1505,31.9,3.6,20.0,1.2,43.3,48439111307,48,439,111307
1265,1247,1091,132,0,24,0,0,18,227,864,48.9,7.4,15.8,0.9,27.0,48439111308,48,439,111308
3837,3684,2594,361,0,0,17,712,153,1779,1527,41.0,3.3,13.2,2.9,39.6,48439111309,48,439,111309
8130,8011,3437,3499,16,853,0,206,119,1300,2394,50.4,1.9,7.7,2.7,37.3,48439111310,48,439,111310
