S0601_C01_001E,S0601_C01_011E,S0601_C01_012E,S0601_C01_013E,S0601_C01_014E,S0601_C01_015E,S0601_C01_016E,S0601_C01_017E,S0601_C01_018E,S0601_C01_019E,S0601_C01_020E,S0601_C01_021E,S0601_C01_022E,S0601_C01_023E,S0601_C01_024E,S0601_C01_025E,S0601_C01_026E,S0601_C01_027E,S0601_C01_028E,S0601_C01_034E,S0601_C01_035E,S0601_C01_036E,S0601_C01_037E,S0601_C01_038E,S0601_C01_039E,S0601_C01_040E,S0601_C01_041E,S0601_C01_042E,S0601_C01_043E,S0601_C01_044E,S0601_C01_045E,S0601_C01_046E,S0601_C01_047E,S0601_C01_048E,FIPS,STATEFP,COUNTYFP,TRACTCE
17436,52.4,47.6,98.1,88.1,6.9,0.2,1.6,0.0,1.2,1.9,14.3,75.0,15748,11.8,7.4,4.4,12680,23.2,15.6,31.7,33.8,12.8,12680,12.4,5.1,8.0,9.4,5.7,8.0,3.2,33.4,52466,17293,48085030305,48,085,030305
5890,47.6,52.4,98.6,79.9,9.3,0.0,3.3,0.0,6.0,1.4,17.1,69.3,5608,13.2,10.5,2.7,4525,23.2,12.5,33.8,32.0,16.6,4525,11.6,5.3,11.6,7.8,11.1,8.3,3.2,24.4,41324,5890,48085030403,48,085,030403
5932,46.1,53.9,96.6,69.0,12.1,0.8,13.5,0.0,1.1,3.4,8.4,62.0,5649,16.4,11.7,4.7,4978,27.9,13.6,27.7,40.4,13.0,4978,10.7,4.5,9.4,6.6,8.2,10.9,3.7,29.2,53841,5831,48085030404,48,085,030404
5072,44.6,55.4,97.7,66.6,11.4,0.2,14.4,0.0,5.2,2.3,20.9,50.9,4798,31.5,20.4,11.0,4206,27.4,15.9,29.3,33.2,15.0,4206,12.3,3.8,10.4,10.7,10.8,10.8,7.4,18.6,40967,5072,48085030405,48,085,030405
5084,53.9,46.1,91.8,67.9,8.9,0.5,6.9,0.3,7.3,8.2,42.7,40.0,4862,39.0,24.8,14.3,4152,41.6,14.6,32.5,27.6,13.9,4152,12.0,5.7,12.5,6.0,13.4,8.1,2.9,16.4,38197,5084,48085030406,48,085,030406
4288,47.3,52.7,98.8,81.5,5.6,0.3,10.9,0.0,0.6,1.2,6.0,76.0,4157,14.6,10.1,4.5,3423,27.1,6.8,24.4,45.1,23.8,3423,12.4,1.5,3.6,8.9,6.5,7.8,3.2,36.1,63944,4288,48085030407,48,085,030407
7675,45.0,55.0,96.9,80.6,4.4,2.9,4.7,0.0,4.3,3.1,45.5,44.1,7140,42.0,27.4,14.5,6277,34.5,18.9,27.6,27.8,10.0,6277,15.1,7.6,14.9,13.3,14.2,5.1,2.8,16.3,30740,7582,48085030408,48,085,030408
3642,49.0,51.0,97.7,76.6,7.3,0.0,13.8,0.0,0.0,2.3,3.2,73.3,3396,11.6,8.3,3.3,3096,32.4,2.7,28.3,37.4,26.5,3096,2.7,6.8,8.6,6.9,11.9,8.7,5.2,33.2,54826,3642,48085030504,48,085,030504
5161,48.3,51.7,97.9,63.2,9.3,0.7,23.7,0.0,1.0,2.1,7.4,57.8,4935,32.9,22.4,10.4,4619,45.3,6.3,24.9,41.5,26.7,4619,7.3,4.4,2.1,10.0,12.3,12.3,4.8,32.5,59894,5161,48085030505,48,085,030505
2963,46.7,53.3,95.7,77.8,7.1,0.0,8.7,0.0,2.1,4.3,8.7,71.1,2764,15.3,9.9,5.4,2313,24.3,10.1,24.8,47.1,15.8,2313,10.2,3.9,5.6,6.1,6.9,11.2,3.8,38.9,63906,2943,48085030506,48,085,030506
1750,53.0,47.0,97.9,83.0,3.9,0.2,10.7,0.0,0.0,2.1,10.5,73.1,1670,15.2,12.7,2.5,1385,21.2,9.2,21.0,44.2,24.4,1385,7.1,1.2,10.4,5.6,6.1,8.0,4.9,38.4,69313,1750,48085030507,48,085,030507
7077,44.8,55.2,95.9,74.7,4.9,0.5,14.6,0.0,1.2,4.1,13.3,64.7,6810,26.7,22.6,4.1,5394,22.9,6.3,26.4,40.3,22.4,5394,11.8,4.4,5.2,4.2,5.3,10.0,6.6,35.4,66475,7077,48085030508,48,085,030508
2817,47.8,52.2,96.5,70.5,6.2,0.5,19.1,0.0,0.2,3.5,14.3,57.9,2639,29.4,16.7,12.7,2171,18.3,14.8,26.8,38.0,17.0,2171,9.2,4.5,6.0,4.7,8.7,11.7,4.3,30.8,58452,2750,48085030509,48,085,030509
3455,50.5,49.5,96.9,63.9,11.6,1.2,19.6,0.0,0.6,3.1,10.8,56.1,3250,31.5,25.1,6.3,2671,26.1,8.4,28.1,40.4,20.7,2671,14.3,3.3,7.9,7.5,8.1,10.1,5.4,29.4,53430,3455,48085030510,48,085,030510
12065,51.8,48.2,96.2,44.9,6.6,0.4,42.6,0.0,1.7,3.8,9.9,38.0,11176,45.4,38.2,7.2,8388,16.6,7.2,16.9,35.2,38.4,8388,8.9,4.4,3.2,3.4,3.8,9.1,4.0,45.6,83417,12020,48085030511,48,085,030511
5238,47.8,52.2,94.3,69.5,2.6,0.4,21.6,0.0,0.2,5.7,4.5,66.1,4982,26.2,21.0,5.1,3812,26.0,7.3,20.3,47.9,23.9,3812,13.5,1.7,5.6,6.6,6.0,4.2,4.0,37.6,69245,5238,48085030512,48,085,030512
13098,46.6,53.4,97.1,63.3,15.3,0.3,16.7,0.0,1.5,2.9,11.4,54.3,12120,25.0,20.3,4.7,10304,28.4,11.5,33.6,34.2,18.5,10304,7.7,5.8,9.6,10.3,10.2,13.9,5.1,26.8,51194,13080,48085030513,48,085,030513
7454,49.4,50.6,96.5,71.4,17.3,0.7,6.7,0.0,0.4,3.5,8.9,63.2,7082,18.4,11.8,6.6,5793,25.7,16.8,33.7,38.6,7.0,5793,11.0,5.2,10.0,11.2,17.1,8.5,5.6,19.1,43035,7454,48085030514,48,085,030514
6339,46.4,53.6,98.8,71.4,16.7,0.9,8.4,0.1,1.5,1.2,11.7,61.0,5878,21.2,17.5,3.8,4705,25.8,15.2,34.7,30.9,14.3,4705,8.8,7.2,9.3,7.4,9.7,10.5,6.3,27.1,50980,6339,48085030515,48,085,030515
7569,45.9,54.1,98.4,62.4,16.4,0.4,17.9,0.0,1.2,1.6,11.9,52.4,6816,28.3,19.2,9.1,5132,23.0,13.8,25.5,36.4,20.9,5132,9.3,5.8,7.0,6.8,6.2,10.9,4.2,33.6,57556,7543,48085030516,48,085,030516
9398,48.4,51.6,94.3,70.2,7.8,0.0,15.6,0.0,0.8,5.7,8.4,63.0,8488,20.5,13.1,7.4,7128,23.6,13.3,24.8,40.3,20.1,7128,11.1,5.0,7.6,7.2,9.4,8.3,5.1,29.5,51173,9383,48085030517,48,085,030517
7379,51.1,48.9,93.8,42.1,6.2,2.2,42.0,0.0,1.2,6.2,4.1,40.0,6847,40.4,35.2,5.2,4978,15.6,8.5,12.8,41.4,36.6,4978,10.1,3.6,4.3,4.4,5.0,4.3,2.2,49.0,88503,7379,48085030518,48,085,030518
4966,47.4,52.6,95.9,59.2,9.0,1.3,25.5,0.2,0.6,4.1,9.4,52.1,4511,30.5,27.2,3.3,3741,23.5,9.2,20.2,43.9,23.9,3741,8.0,4.4,5.1,6.7,12.1,8.3,7.2,35.7,63986,4938,48085030519,48,085,030519
6942,49.8,50.2,98.1,59.3,16.0,0.3,22.5,0.0,0.1,1.9,13.5,45.9,6441,41.5,30.2,11.3,4894,20.8,6.6,28.3,36.1,24.9,4894,10.1,2.3,4.5,5.9,9.6,7.8,4.3,33.7,63830,6942,48085030520,48,085,030520
5164,50.2,49.8,97.7,45.0,13.6,0.0,38.2,0.0,1.0,2.3,8.5,38.3,4709,44.2,35.1,9.1,3663,23.4,6.0,23.2,33.2,34.5,3663,12.3,1.4,3.7,3.0,10.4,7.5,3.9,38.5,69792,5119,48085030521,48,085,030521
12020,50.5,49.5,96.7,53.5,8.9,1.5,31.5,0.0,1.2,3.3,12.0,43.2,10750,42.1,31.7,10.4,8043,14.7,8.6,20.3,40.5,25.0,8043,10.2,2.2,6.4,4.3,5.0,9.4,5.6,35.5,68899,12009,48085030522,48,085,030522
11900,46.8,53.2,96.9,56.6,17.5,0.2,19.7,0.0,2.8,3.1,9.5,49.9,11069,25.9,19.8,6.1,8531,20.4,16.4,28.6,30.9,19.6,8531,13.8,2.1,8.5,3.8,10.5,13.0,6.2,28.3,54582,11828,48085030523,48,085,030523
5708,49.6,50.4,95.5,63.4,13.2,1.4,15.4,0.0,2.0,4.5,20.6,44.9,5241,37.1,27.9,9.3,4385,23.5,17.6,27.8,34.6,14.3,4385,8.6,6.8,11.1,5.4,8.7,11.2,4.7,25.2,50165,5685,48085030524,48,085,030524
6256,49.0,51.0,96.7,91.3,3.1,0.0,1.5,0.0,0.8,3.3,4.1,87.8,5865,5.5,4.6,1.0,4792,16.2,9.1,29.6,43.1,16.8,4792,11.9,4.4,6.1,5.9,8.5,9.1,4.8,32.5,59485,6256,48085030525,48,085,030525
11222,48.5,51.5,97.0,79.7,7.9,0.9,8.5,0.0,0.0,3.0,14.3,67.8,10237,16.6,11.4,5.2,8275,18.1,8.0,25.3,42.3,21.6,8275,11.8,4.6,5.0,4.2,6.9,7.6,1.9,39.6,66894,11222,48085030526,48,085,030526
5212,47.9,52.1,97.3,77.2,14.7,0.8,3.4,0.0,1.2,2.7,11.6,68.3,4816,12.7,9.1,3.7,3847,25.8,15.8,35.4,32.4,15.2,3847,12.1,5.3,11.0,8.1,11.9,8.3,3.4,27.5,42611,5193,48085030527,48,085,030527
8692,46.4,53.6,98.4,84.1,6.1,0.4,6.9,0.0,1.0,1.6,9.9,75.4,8111,18.4,12.9,5.5,6694,19.9,5.9,28.4,44.0,20.3,6694,14.0,3.3,6.5,6.9,10.8,11.3,4.3,28.8,53157,8675,48085030528,48,085,030528
3413,49.5,50.5,97.6,81.9,11.5,0.0,4.0,0.0,0.2,2.4,13.9,68.2,3314,15.3,12.9,2.4,2776,28.6,13.3,29.5,33.4,21.5,2776,10.0,5.5,7.1,7.0,9.1,12.7,3.5,26.7,53425,3311,48085030529,48,085,030529
6092,46.5,53.5,97.6,87.8,1.1,0.0,7.7,0.0,1.1,2.4,6.9,82.6,5695,13.8,10.9,2.9,5000,23.2,11.4,32.7,35.5,16.8,5000,14.1,4.0,9.2,3.6,13.3,13.7,4.1,26.4,49980,6058,48085030530,48,085,030530
7166,49.4,50.6,97.5,88.3,5.3,0.2,3.2,0.0,0.6,2.5,5.5,83.7,6750,8.1,6.8,1.3,5297,19.5,8.6,31.3,37.6,21.0,5297,12.9,5.0,5.6,8.7,8.8,9.0,3.8,34.6,55017,7166,48085030531,48,085,030531
10687,48.8,51.2,98.1,84.0,9.3,0.0,4.2,0.0,0.6,1.9,7.4,77.6,9956,11.1,8.0,3.1,8274,24.0,11.9,29.5,40.8,16.9,8274,10.6,5.3,9.7,7.1,7.0,10.2,3.0,30.7,52167,10687,48085030601,48,085,030601
9500,48.4,51.6,96.7,74.8,15.6,0.4,5.0,0.0,0.9,3.3,19.2,56.4,8670,24.6,13.9,10.7,7226,25.7,16.8,33.0,25.4,13.7,7226,9.6,5.5,13.7,10.9,11.5,7.4,2.4,26.1,42665,9476,48085030603,48,085,030603
3214,55.9,44.1,99.0,73.2,18.6,0.7,1.4,0.2,4.9,1.0,22.6,52.7,3006,24.6,21.6,3.1,2545,38.9,16.2,40.2,21.2,12.6,2545,20.2,9.8,9.2,7.6,9.3,8.2,3.5,16.0,29659,2707,48085030604,48,085,030604
7602,49.6,50.4,98.7,72.8,18.7,0.0,0.5,0.0,6.6,1.3,24.3,51.9,7245,28.5,21.0,7.6,6046,34.8,25.2,34.6,22.0,5.2,6046,16.6,4.9,14.3,5.2,8.8,9.3,3.4,15.2,29470,7602,48085030605,48,085,030605
3621,47.9,52.1,98.9,85.0,4.7,2.0,2.7,0.3,4.2,1.1,46.3,43.7,3289,39.8,22.3,17.5,2939,34.8,24.1,22.7,20.3,7.3,2939,9.9,7.0,14.0,12.8,10.9,9.3,2.2,12.9,31653,3441,48085030701,48,085,030701
5401,48.4,51.6,99.1,85.6,7.5,0.3,0.3,0.0,5.5,0.9,41.4,49.9,5220,36.5,21.2,15.2,4264,36.4,26.3,27.7,12.8,11.6,4264,11.1,8.5,16.2,8.5,12.2,7.2,3.1,12.5,28698,5401,48085030702,48,085,030702
4476,44.0,56.0,97.2,75.6,17.5,0.4,1.1,0.5,2.1,2.8,24.4,54.8,4097,24.4,17.7,6.6,3602,44.3,28.8,30.6,18.2,11.9,3602,7.1,3.6,13.5,19.8,13.5,11.3,4.6,11.3,33000,4454,48085030801,48,085,030801
5597,53.0,47.0,93.3,74.7,15.7,0.8,0.3,0.0,2.0,6.7,41.5,35.8,5250,37.0,16.2,20.8,4581,41.8,28.8,19.9,17.3,7.5,4581,10.0,12.1,21.4,11.5,9.2,8.0,1.1,8.5,23506,5588,48085030802,48,085,030802
10118,50.1,49.9,98.4,79.2,13.3,0.0,1.5,0.0,4.4,1.6,58.7,25.7,9489,52.3,24.6,27.7,7852,40.1,33.4,17.9,7.7,3.5,7852,14.7,9.0,22.2,12.4,10.5,5.3,0.6,5.2,21668,9834,48085030900,48,085,030900
6695,49.9,50.1,99.7,93.5,1.9,0.4,1.4,0.0,2.4,0.3,37.3,58.8,6225,33.0,22.5,10.6,5186,28.6,37.7,32.8,10.8,3.2,5186,10.8,5.0,13.9,12.1,13.5,11.5,4.2,9.6,33750,6690,48085031001,48,085,031001
7057,48.6,51.4,94.4,69.7,16.3,0.4,2.5,0.0,5.5,5.6,24.7,54.0,6565,24.2,15.8,8.5,5256,23.5,27.9,30.2,26.2,7.2,5256,16.2,8.6,9.3,8.8,11.1,8.8,5.0,16.7,34159,7054,48085031003,48,085,031003
6032,49.9,50.1,99.0,95.4,2.6,0.0,0.2,0.0,0.8,1.0,29.1,67.1,5754,20.1,13.1,7.0,4890,28.6,42.0,30.4,11.4,2.5,4890,9.3,7.1,9.6,14.5,14.0,11.2,4.6,10.6,34920,6032,48085031004,48,085,031004
9203,51.9,48.1,98.6,83.4,8.5,0.8,0.4,1.4,4.1,1.4,21.8,67.0,8630,16.4,12.5,3.9,7426,22.4,36.7,31.0,12.7,5.1,7426,14.2,9.7,10.1,14.5,11.9,8.2,4.0,13.1,31053,9063,48085031100,48,085,031100
5096,52.2,47.8,96.8,86.0,4.7,0.3,2.2,0.0,3.6,3.2,14.3,76.2,4777,12.9,11.0,1.9,3971,19.2,35.6,33.3,16.2,7.5,3971,9.7,5.2,14.9,9.7,13.4,12.6,5.3,15.9,37737,5061,48085031201,48,085,031201
4982,50.0,50.0,96.4,78.7,8.0,0.6,1.1,0.0,8.0,3.6,20.5,68.0,4641,18.4,15.4,3.1,3764,22.5,27.5,36.5,17.0,8.8,3764,7.6,5.4,8.4,11.1,15.9,15.3,5.8,17.9,42648,4936,48085031202,48,085,031202
6382,47.5,52.5,98.0,73.2,17.7,0.1,3.1,0.2,3.7,2.0,16.2,60.9,5862,24.3,18.0,6.2,4937,27.4,22.2,28.0,29.5,12.5,4937,12.5,3.8,8.1,5.7,13.4,11.6,3.3,25.4,47058,6382,48085031308,48,085,031308
9697,44.7,55.3,95.7,69.9,15.0,0.4,7.1,0.0,3.3,4.3,20.1,56.0,9091,25.1,16.9,8.3,7248,32.3,19.9,35.4,26.6,10.3,7248,9.0,7.1,14.0,10.5,11.3,12.0,5.5,16.2,38352,9668,48085031309,48,085,031309
11899,48.4,51.6,92.7,71.7,10.6,0.8,3.6,0.0,6.1,7.3,27.6,50.7,10979,22.8,15.5,7.3,8847,27.4,27.3,35.6,22.3,7.2,8847,11.2,4.1,13.0,9.5,14.3,12.3,6.1,15.5,40097,11808,48085031310,48,085,031310
11872,48.2,51.8,97.9,80.1,6.7,0.5,5.2,0.0,5.4,2.1,18.8,65.2,11056,22.0,15.8,6.1,9029,23.6,18.9,35.4,27.4,11.1,9029,11.0,7.0,8.0,11.0,10.4,16.0,5.5,20.0,44248,11846,48085031311,48,085,031311
6617,48.8,51.2,99.5,75.7,7.5,0.0,14.4,0.0,2.0,0.5,7.7,69.9,6366,22.5,17.0,5.5,5492,20.7,14.9,27.1,35.0,21.3,5492,7.7,5.8,7.3,11.5,8.8,8.6,6.2,28.9,52648,6617,48085031312,48,085,031312
13198,53.2,46.8,96.7,60.5,10.0,0.4,24.0,0.2,1.6,3.3,13.9,48.3,12571,34.8,21.7,13.1,9966,25.9,12.8,18.5,35.9,23.5,9966,12.1,4.8,6.5,8.3,7.0,7.8,1.4,31.1,51924,13198,48085031313,48,085,031313
2985,50.6,49.4,96.2,87.0,5.3,0.0,1.9,0.0,1.9,3.8,12.1,76.9,2887,12.1,8.5,3.6,2380,24.0,15.0,24.9,40.7,12.8,2380,14.5,4.3,7.6,7.4,8.7,10.3,4.3,28.0,50069,2985,48085031314,48,085,031314
21863,50.3,49.7,96.5,62.7,14.7,0.3,18.4,0.0,0.4,3.5,14.6,49.1,19951,36.3,20.4,15.9,15952,26.3,20.8,31.0,28.4,13.9,15952,10.6,5.9,12.9,6.5,10.3,9.9,4.4,22.5,41394,21711,48085031315,48,085,031315
6921,48.4,51.6,97.8,45.1,8.7,0.0,43.1,0.0,0.9,2.2,6.9,38.5,6644,47.2,31.1,16.2,5372,26.3,12.5,21.9,33.8,27.2,5372,9.6,3.4,10.2,8.1,8.1,6.3,2.9,30.0,49931,6921,48085031316,48,085,031316
9742,46.5,53.5,97.6,65.0,11.4,0.6,18.0,0.0,2.5,2.4,11.0,57.7,9048,25.2,18.1,7.2,7568,24.8,17.6,27.6,31.8,19.1,7568,11.3,6.5,8.7,7.6,8.4,8.6,5.4,28.8,50155,9742,48085031317,48,085,031317
25820,53.1,46.9,97.2,58.4,4.7,0.0,33.0,0.0,1.1,2.8,5.1,55.7,24515,29.8,21.3,8.5,19435,24.0,7.0,19.5,37.8,33.9,19435,11.3,3.0,5.1,3.7,7.2,5.5,4.2,40.9,76217,25820,48085031405,48,085,031405
18766,50.8,49.2,96.9,72.2,10.7,0.3,11.9,0.1,1.6,3.1,12.4,62.2,17540,25.3,19.7,5.6,13937,20.6,9.3,23.4,43.3,21.4,13937,10.1,5.6,10.0,5.3,7.8,9.0,4.8,28.8,52145,18718,48085031406,48,085,031406
7977,47.9,52.1,98.2,90.2,0.9,0.9,3.1,0.0,3.2,1.8,6.6,86.2,7780,10.6,8.1,2.5,6483,15.6,7.2,34.0,39.4,18.9,6483,14.9,6.2,7.1,8.1,9.9,9.7,2.8,24.9,44507,7977,48085031407,48,085,031407
3858,51.7,48.3,98.6,70.2,7.6,0.4,19.4,0.0,1.0,1.4,6.8,65.3,3604,25.6,15.6,10.0,2951,27.8,14.2,27.1,33.9,20.3,2951,15.3,2.2,13.7,7.2,9.3,8.2,4.6,25.4,41641,3858,48085031408,48,085,031408
11660,48.6,51.4,93.6,58.8,12.1,0.2,22.4,0.0,0.2,6.4,11.3,51.5,10809,28.7,19.2,9.5,9117,24.6,12.9,31.7,35.8,17.9,9117,12.6,4.0,8.5,8.3,8.7,8.4,6.6,26.7,49604,11583,48085031409,48,085,031409
9271,50.1,49.9,97.3,76.9,10.4,0.2,7.4,0.0,2.3,2.7,11.5,69.9,8891,23.9,12.3,11.6,7557,28.6,20.5,30.3,30.0,15.1,7557,14.1,5.9,10.1,9.9,12.2,7.2,3.3,23.6,38587,9271,48085031410,48,085,031410
5739,49.3,50.7,97.5,64.1,11.4,0.7,19.6,0.0,1.7,2.5,8.2,58.4,5360,25.1,15.3,9.9,4310,24.3,12.2,29.2,38.2,15.8,4310,13.8,4.0,9.7,4.7,9.6,10.1,6.1,27.2,50977,5699,48085031411,48,085,031411
7112,49.1,50.9,97.7,81.1,9.0,0.6,6.2,0.0,0.7,2.3,10.8,72.3,6634,15.1,11.2,3.9,5683,31.1,17.1,34.3,32.0,11.8,5683,17.2,8.6,8.0,8.4,14.0,9.1,4.3,20.5,40407,7112,48085031504,48,085,031504
8729,52.7,47.3,98.2,67.7,4.9,0.0,24.1,0.0,1.5,1.8,12.2,57.0,8337,39.6,28.4,11.1,6839,21.3,10.5,25.4,38.0,23.4,6839,11.1,6.9,5.6,5.6,7.9,9.6,5.9,33.4,58048,8729,48085031505,48,085,031505
9509,47.4,52.6,98.3,75.4,17.5,0.5,3.0,0.0,1.8,1.7,18.3,59.6,8799,27.8,16.5,11.3,7200,34.7,25.5,32.7,20.2,8.9,7200,12.7,6.8,12.6,10.1,14.9,10.9,4.0,12.7,35147,9388,48085031506,48,085,031506
6403,45.2,54.8,98.8,70.7,12.4,0.8,12.8,0.0,2.1,1.2,15.3,57.5,6019,27.1,19.1,8.0,5126,28.6,15.2,25.4,38.4,18.3,5126,7.6,5.2,11.0,7.4,12.6,10.9,5.1,24.4,45965,6310,48085031507,48,085,031507
6372,51.2,48.8,97.0,69.3,13.4,0.3,13.7,0.0,0.3,3.0,7.8,62.9,6130,22.6,17.1,5.5,5388,29.3,29.1,31.7,21.5,10.5,5388,8.4,5.0,15.9,15.5,12.2,10.2,4.6,13.6,32088,6372,48085031508,48,085,031508
4184,46.3,53.7,98.3,72.3,15.8,0.2,6.6,0.0,3.3,1.7,31.3,44.3,4001,38.9,21.4,17.4,3297,29.4,14.2,38.4,28.4,5.4,3297,11.3,7.4,11.1,7.4,9.0,17.8,2.5,14.9,39803,4184,48085031611,48,085,031611
6197,47.1,52.9,96.8,76.2,5.6,0.0,14.0,0.0,1.0,3.2,6.0,71.0,5807,21.3,16.4,4.9,5094,24.7,10.3,24.8,39.1,23.3,5094,12.3,6.5,10.8,6.0,10.1,6.4,5.7,30.8,46899,6197,48085031612,48,085,031612
5540,45.4,54.6,96.0,86.0,3.2,0.2,6.4,0.0,0.2,4.0,5.9,80.6,5364,9.8,7.5,2.2,4856,20.2,16.3,30.1,39.0,13.7,4856,13.6,6.0,7.6,8.9,11.9,10.8,6.4,25.5,46148,5540,48085031613,48,085,031613
5528,44.7,55.3,97.8,72.9,13.9,0.7,8.5,0.8,1.0,2.2,11.2,64.9,5059,23.5,18.1,5.4,4549,21.3,13.1,27.2,37.5,18.8,4549,7.6,5.8,11.1,9.3,11.5,12.2,2.3,27.4,47595,5401,48085031621,48,085,031621
6613,51.8,48.2,98.5,72.6,9.3,0.0,16.1,0.0,0.4,1.5,11.4,61.8,6339,28.6,17.2,11.4,5632,26.7,13.4,30.1,31.7,18.1,5632,12.9,4.8,7.7,5.5,13.5,12.9,2.3,20.4,46603,6502,48085031622,48,085,031622
2822,48.5,51.5,98.1,78.8,7.3,0.4,11.6,0.0,0.0,1.9,30.3,48.7,2697,40.0,24.0,16.0,2539,32.5,19.5,25.0,22.9,23.0,2539,13.1,3.6,14.3,13.5,9.1,8.7,0.7,21.0,32684,2822,48085031623,48,085,031623
3828,51.9,48.1,95.8,67.4,7.4,0.0,16.5,0.0,4.5,4.2,34.2,42.6,3608,56.2,24.9,31.2,3249,40.0,20.9,26.0,20.8,12.4,3249,16.9,8.5,17.7,8.9,13.4,5.8,1.9,11.8,24429,3761,48085031624,48,085,031624
4868,49.1,50.9,96.2,78.9,4.9,0.8,11.4,0.0,0.2,3.8,10.8,68.5,4578,21.5,12.0,9.5,4125,26.5,11.5,33.7,27.9,21.7,4125,10.4,3.9,10.2,7.4,10.4,11.6,4.3,27.6,50828,4868,48085031625,48,085,031625
2344,49.3,50.7,97.2,85.6,1.9,0.0,9.7,0.0,0.0,2.8,2.3,83.7,2200,8.5,3.5,4.9,1940,18.2,14.6,25.6,32.6,24.7,1940,9.7,6.9,5.8,10.5,10.2,12.8,4.2,33.4,54337,2344,48085031626,48,085,031626
5201,48.3,51.7,98.1,76.3,10.6,1.0,8.0,0.0,2.2,1.9,14.6,65.9,4917,17.4,7.5,9.9,4400,26.3,19.7,28.5,30.4,15.9,4400,11.4,6.8,11.1,9.8,8.7,11.0,4.2,22.6,42473,5178,48085031627,48,085,031627
3766,51.3,48.7,98.1,78.5,14.2,0.7,4.1,0.2,0.5,1.9,17.1,62.6,3560,15.5,11.8,3.7,3243,23.6,15.4,33.7,31.9,10.5,3243,11.8,5.5,12.2,10.1,19.3,12.5,1.0,18.2,39433,3688,48085031628,48,085,031628
3980,52.4,47.6,97.7,80.4,7.9,0.6,8.3,0.0,0.6,2.3,24.8,56.6,3683,27.0,17.8,9.3,3007,28.7,19.0,26.5,31.4,14.1,3007,9.2,5.2,17.0,10.8,12.2,10.9,4.2,16.4,35647,3954,48085031629,48,085,031629
4612,50.1,49.9,94.1,70.9,6.8,0.0,14.9,0.0,1.6,5.9,11.3,64.0,4405,28.1,18.8,9.4,3787,26.3,10.5,22.7,45.9,17.7,3787,13.8,2.9,9.2,7.7,10.4,10.9,5.3,26.4,48173,4612,48085031630,48,085,031630
4670,52.2,47.8,94.8,67.3,12.8,0.1,13.2,1.0,0.4,5.2,19.9,48.7,4175,32.3,17.5,14.8,3705,34.9,16.7,30.4,28.3,14.4,3705,12.2,6.4,13.1,8.6,10.6,13.7,2.8,22.0,42793,4670,48085031631,48,085,031631
6037,44.8,55.2,98.7,56.8,21.1,0.0,17.3,0.0,3.6,1.3,7.6,51.9,5687,23.7,13.6,10.1,5094,29.9,15.2,27.5,27.4,24.2,5094,14.3,4.6,16.6,8.7,10.5,10.8,1.8,16.9,32479,6037,48085031632,48,085,031632
4341,50.9,49.1,93.9,71.4,7.3,0.3,14.6,0.0,0.3,6.1,13.8,58.9,4263,22.4,14.0,8.4,3528,26.4,13.2,41.1,32.6,10.4,3528,7.8,5.5,9.6,9.8,15.5,9.4,4.5,21.2,41475,4285,48085031633,48,085,031633
3622,50.3,49.7,96.5,75.4,4.6,0.0,13.0,0.0,3.5,3.5,20.2,58.5,3423,33.0,21.4,11.6,3096,31.6,26.6,28.0,30.6,8.0,3096,8.7,4.3,16.9,16.7,13.5,12.7,1.6,11.3,32179,3615,48085031634,48,085,031634
4542,46.7,53.3,95.4,57.8,18.2,0.0,18.9,0.0,0.5,4.6,17.5,41.3,4302,40.5,22.8,17.8,3803,34.4,19.7,34.4,27.4,10.5,3803,11.0,4.3,14.2,12.5,11.8,12.6,5.0,12.7,35132,4542,48085031635,48,085,031635
7198,45.9,54.1,98.4,63.1,6.4,1.7,24.4,0.0,2.9,1.6,7.9,58.3,6817,32.9,19.3,13.6,6304,21.8,7.4,23.4,37.4,28.7,6304,5.6,4.6,9.6,10.2,8.4,13.2,6.3,22.9,51912,7198,48085031636,48,085,031636
7181,50.4,49.6,97.4,65.8,1.1,0.4,29.5,0.2,0.4,2.6,4.2,62.4,6925,37.5,29.0,8.5,5969,21.9,7.2,19.6,42.8,26.6,5969,17.4,7.0,5.0,6.0,6.1,7.2,2.7,32.8,50669,7181,48085031637,48,085,031637
6849,52.3,47.7,97.8,43.4,0.6,0.0,53.4,0.0,0.4,2.2,3.8,40.0,6516,57.1,44.4,12.7,5632,27.0,7.6,9.0,33.4,47.8,5632,10.7,2.1,5.2,4.5,3.1,8.2,4.0,36.0,72971,6849,48085031638,48,085,031638
6820,49.7,50.3,98.2,49.5,7.6,0.0,36.8,0.5,3.8,1.8,11.3,42.6,6365,45.8,36.1,9.7,5194,24.4,11.1,18.2,41.7,28.7,5194,7.9,5.3,9.1,6.0,8.3,12.1,3.1,37.4,60331,6820,48085031639,48,085,031639
8646,48.5,51.5,96.8,52.3,12.9,0.0,29.5,0.0,2.1,3.2,9.4,45.2,8039,32.7,24.1,8.6,6446,23.9,7.9,27.7,37.3,22.0,6446,5.8,3.9,4.9,6.8,10.7,18.5,3.8,25.0,55429,8646,48085031640,48,085,031640
6415,48.8,51.2,98.8,38.2,2.1,0.2,57.7,0.1,0.3,1.2,3.9,34.9,6230,51.6,36.5,15.1,5025,23.8,6.5,12.1,37.4,42.6,5025,12.2,3.7,4.3,3.3,6.4,6.2,1.5,37.6,74926,6415,48085031641,48,085,031641
