S0601_C01_001E,S0601_C01_011E,S0601_C01_012E,S0601_C01_013E,S0601_C01_014E,S0601_C01_015E,S0601_C01_016E,S0601_C01_017E,S0601_C01_018E,S0601_C01_019E,S0601_C01_020E,S0601_C01_021E,S0601_C01_022E,S0601_C01_023E,S0601_C01_024E,S0601_C01_025E,S0601_C01_026E,S0601_C01_027E,S0601_C01_028E,S0601_C01_034E,S0601_C01_035E,S0601_C01_036E,S0601_C01_037E,S0601_C01_038E,S0601_C01_039E,S0601_C01_040E,S0601_C01_041E,S0601_C01_042E,S0601_C01_043E,S0601_C01_044E,S0601_C01_045E,S0601_C01_046E,S0601_C01_047E,S0601_C01_048E,FIPS,STATEFP,COUNTYFP,TRACTCE
8067,64.4,35.6,97.7,75.9,18.2,0.1,0.2,0.0,3.2,2.3,14.6,64.9,7782,18.9,13.4,5.5,7157,40.0,42.8,23.6,9.8,1.6,7157,13.9,5.7,12.6,9.7,7.9,5.6,1.6,5.1,24246,5639,48457950200,48,457,950200
2717,39.9,60.1,97.5,75.5,21.7,0.0,0.1,0.0,0.1,2.5,1.5,74.3,2628,2.3,1.6,0.6,2177,27.8,41.1,24.0,12.7,6.5,2177,15.7,12.8,18.6,10.0,9.6,10.7,4.3,4.9,22478,2488,48457950300,48,457,950300
4296,53.5,46.5,97.4,93.7,3.1,0.3,0.0,0.0,0.4,2.6,3.7,90.6,3990,1.5,1.5,0.0,3574,19.4,46.6,23.9,5.7,2.1,3574,31.2,12.6,11.8,10.1,8.8,3.4,0.8,6.4,14157,4296,48457950400,48,457,950400
3268,50.5,49.5,96.8,89.6,3.0,0.0,1.4,0.0,2.8,3.2,4.8,88.2,3049,6.8,6.3,0.5,2642,17.1,39.9,28.3,13.8,8.8,2642,11.0,5.4,20.3,13.0,10.2,6.7,1.8,12.0,26948,3268,48457950500,48,457,950500
7698,52.9,47.1,98.1,91.5,3.7,1.4,0.5,0.0,0.9,1.9,8.4,84.1,7176,6.4,3.9,2.5,5997,19.3,33.6,37.6,9.2,3.6,5997,16.1,8.4,14.0,10.7,10.6,10.5,1.7,10.7,27665,7698,48459950100,48,459,950100
4532,47.3,52.7,97.7,82.9,12.6,0.8,0.3,0.0,1.0,2.3,10.9,74.2,4146,8.2,6.5,1.7,3275,20.1,31.7,41.9,10.9,4.4,3275,9.9,9.3,16.2,14.5,13.2,13.2,2.2,3.8,28241,4532,48459950200,48,459,950200
8641,47.6,52.4,98.0,87.1,5.6,0.4,0.4,0.0,4.5,2.0,9.3,82.3,8180,5.3,3.2,2.1,6924,24.0,40.2,32.7,10.0,4.1,6924,16.8,12.2,15.1,9.5,6.8,8.3,1.8,12.1,22544,8604,48459950300,48,459,950300
4383,49.1,50.9,95.4,68.0,22.5,0.3,0.1,0.0,4.5,4.6,7.0,64.1,4150,5.2,4.1,1.1,3574,32.3,29.8,33.2,14.5,8.2,3574,18.3,6.4,16.7,11.7,13.5,11.2,0.8,6.3,25491,4025,48459950400,48,459,950400
6383,49.1,50.9,99.8,91.7,7.3,0.0,0.1,0.0,0.6,0.2,6.8,85.5,6012,6.4,5.1,1.3,5360,29.1,33.9,26.3,17.2,4.9,5360,22.1,8.5,16.5,13.6,7.2,5.8,3.7,8.1,22912,6343,48459950500,48,459,950500
3983,47.0,53.0,98.8,86.9,10.3,0.0,0.7,0.0,0.9,1.2,3.5,85.3,3773,1.8,1.1,0.8,3275,21.8,32.0,37.7,12.0,5.6,3275,11.6,7.3,15.3,9.3,13.4,12.4,2.5,8.7,30382,3777,48459950600,48,459,950600
5398,49.2,50.8,97.9,90.9,3.0,0.2,0.0,0.0,3.7,2.1,13.0,80.7,5211,8.6,4.2,4.4,4513,21.9,34.6,33.9,14.6,4.1,4513,14.0,6.3,13.0,13.0,16.8,5.2,3.1,13.0,32787,5398,48459950700,48,459,950700
1180,53.6,46.4,100.0,65.4,4.7,1.8,1.4,0.0,26.7,0.0,35.1,57.5,1103,28.1,18.9,9.2,1011,23.8,40.2,26.1,9.0,2.1,1011,14.2,6.9,10.3,17.2,6.4,11.1,1.3,15.5,27488,1151,48461950100,48,461,950100
2479,51.2,48.8,99.9,35.3,6.7,0.0,0.4,0.0,57.5,0.1,62.6,30.4,2297,44.0,32.6,11.4,1887,25.1,41.7,24.0,4.7,4.1,1887,13.0,5.7,17.0,14.7,11.4,10.9,1.1,7.1,28980,2440,48461950200,48,461,950200
3045,49.5,50.5,96.4,95.2,0.0,0.0,0.0,0.0,1.2,3.6,37.1,59.3,2912,30.0,26.5,3.5,2351,21.6,35.0,25.6,10.6,5.8,2351,23.8,12.0,15.4,10.2,9.9,3.4,1.5,9.2,20077,3045,48463950100,48,463,950100
8567,49.6,50.4,100.0,91.4,0.7,0.2,1.8,0.0,5.9,0.0,63.8,34.3,7897,42.0,32.8,9.2,6967,37.8,32.4,21.5,20.5,5.3,6967,21.7,7.2,13.3,11.3,11.7,6.8,2.1,6.7,23197,8495,48463950200,48,463,950200
6069,47.7,52.3,99.4,90.5,0.4,1.0,1.4,0.0,6.1,0.6,85.5,12.2,5545,63.7,39.2,24.5,4636,35.4,28.0,37.0,11.4,1.6,4636,18.3,15.7,18.7,12.5,14.1,4.9,1.3,4.4,20824,5931,48463950300,48,463,950300
3505,48.8,51.2,98.9,94.9,0.5,0.0,0.8,0.5,2.3,1.1,69.1,28.0,3182,41.6,34.0,7.6,2362,31.9,17.6,38.3,20.1,9.0,2362,19.5,13.4,10.7,10.2,12.1,10.3,1.4,9.7,25025,3378,48463950400,48,463,950400
5734,49.3,50.7,99.8,97.3,1.2,0.4,0.0,0.0,0.8,0.2,88.9,10.1,5408,71.0,49.3,21.6,4603,36.4,29.7,24.8,6.5,0.7,4603,20.4,13.3,16.5,15.6,7.4,4.5,0.2,5.1,18390,5561,48463950500,48,463,950500
